Page,Title,URL,Report Link,Total Violations,Total Passes,Critical,Serious,Moderate,Minor,Severity Score
13,Tech Help | HMCPL Intercept,https://events.hmcpl.org/event/2026-03-23/tech-help,./reports/13.html,3,41,0,1,2,0,7
130,Basic Canva | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-26/basic-canva,./reports/130.html,3,42,0,1,2,0,7
131,Open Studio - North Huntsville Makerspace Studio | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-26/open-studio-north-huntsville-makerspace-studio,./reports/131.html,3,41,0,1,2,0,7
132,"Ready, Set, Kindergarten Story Time | HMCPL Intercept",https://events.hmcpl.org/index.php/event/2026-03-26/ready-set-kindergarten-story-time,./reports/132.html,3,41,0,1,2,0,7
133,"Ready, Set, Kindergarten | HMCPL Intercept",https://events.hmcpl.org/index.php/event/2026-03-26/ready-set-kindergarten-1,./reports/133.html,3,41,0,1,2,0,7
134,"Ready, Set, Kindergarten | HMCPL Intercept",https://events.hmcpl.org/index.php/event/2026-03-26/ready-set-kindergarten-0,./reports/134.html,3,41,0,1,2,0,7
135,Spring Cleaning: Your Estate Papers | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-26/spring-cleaning-your-estate-papers,./reports/135.html,3,42,0,1,2,0,7
136,A Senior's Guide to Gaming (Downtown) | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-26/seniors-guide-gaming-downtown,./reports/136.html,3,41,0,1,2,0,7
137,Technology Training Center | HMCPL Intercept,https://events.hmcpl.org/index.php/location/downtown-huntsville-library/technology-training-center,./reports/137.html,0,39,0,0,0,0,0
138,STEAM Club | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-26/steam-club,./reports/138.html,3,41,0,1,2,0,7
139,The Pokémon Hour | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-26/pokemon-hour,./reports/139.html,3,42,0,1,2,0,7
14,Homeschool Art(ist) Education | HMCPL Intercept,https://events.hmcpl.org/event/2026-03-23/homeschool-artist-education-0,./reports/14.html,3,41,0,1,2,0,7
140,Magic Treehouse: Tsunamis | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-26/magic-treehouse-tsunamis,./reports/140.html,3,41,0,1,2,0,7
141,Gurley Girls Book Club | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-26/gurley-girls-book-club,./reports/141.html,3,41,0,1,2,0,7
142,Reading Journal Meetup | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-26/reading-journal-meetup,./reports/142.html,3,41,0,1,2,0,7
143,Stories Under the Stars | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-26/stories-under-stars,./reports/143.html,3,41,0,1,2,0,7
144,The MAD Movie-A-Thon-O-Rama: Pee-wee's Big Adventure (1985) | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-26/mad-movie-thon-o-rama-pee-wees-big-adventure-1985,./reports/144.html,3,41,0,1,2,0,7
145,Baby Lapsit | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-27/baby-lapsit,./reports/145.html,3,41,0,1,2,0,7
146,Sensory Storytime | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-27/sensory-storytime,./reports/146.html,3,42,0,1,2,0,7
147,Breastfeeding Support Group (Toddlers) | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-27/breastfeeding-support-group-toddlers,./reports/147.html,3,41,0,1,2,0,7
148,Tech Help | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-27/tech-help,./reports/148.html,3,41,0,1,2,0,7
149,All Ages Playtime | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-27/all-ages-playtime,./reports/149.html,3,41,0,1,2,0,7
15,Events | HMCPL Intercept,https://events.hmcpl.org,./reports/15.html,4,43,0,18,1,0,56
150,Trivial Pursuit at the Library | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-27/trivial-pursuit-library,./reports/150.html,3,42,0,1,2,0,7
151,FABclub | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-27/fabclub,./reports/151.html,3,41,0,1,2,0,7
152,Mahjong: Advanced Siamese Style | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-27/mahjong-advanced-siamese-style,./reports/152.html,3,42,0,1,2,0,7
153,Native American History of North Alabama | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-27/native-american-history-north-alabama,./reports/153.html,3,41,0,1,2,0,7
154,Canceled: American Mah Jongg | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-27/canceled-american-mah-jongg,./reports/154.html,3,42,0,1,2,0,7
155,Open Studio - North Huntsville Makerspace Studio | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-27/open-studio-north-huntsville-makerspace-studio,./reports/155.html,3,41,0,1,2,0,7
156,Art Without Rules | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-27/art-without-rules,./reports/156.html,3,41,0,1,2,0,7
157,Cavalry Hill Public Library | HMCPL Intercept,https://events.hmcpl.org/index.php/cavalry-hill-public-library,./reports/157.html,1,41,0,2,0,0,6
158,Madison Friends of the Library Treasures and 25¢ Book Sale | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-28/madison-friends-library-treasures-and-25c-book-sale,./reports/158.html,3,42,0,1,2,0,7
159,South Huntsville Public Library Craft Swap in the Creative Commons | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-28/south-huntsville-public-library-craft-swap-creative-commons,./reports/159.html,3,41,0,1,2,0,7
16,Locations | HMCPL Intercept,https://events.hmcpl.org/locations,./reports/16.html,2,39,0,20,1,0,62
160,Sewing: Visible Mending | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-28/sewing-visible-mending,./reports/160.html,3,42,0,1,2,0,7
161,Friends of the Library Easter Egg Hunt | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-28/friends-library-easter-egg-hunt,./reports/161.html,0,41,0,0,0,0,0
162,Saturday Sillies Craft | HMCPL Intercept,https://events.hmcpl.org/event/2026-03-28/saturday-sillies-craft,./reports/162.html,3,41,0,1,2,0,7
163,Youth Services Storytime Area | HMCPL Intercept,https://events.hmcpl.org/location/downtown-huntsville-library/youth-services-storytime-area,./reports/163.html,0,39,0,0,0,0,0
164,Sip and Stitch | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-28/sip-and-stitch,./reports/164.html,3,42,0,1,2,0,7
165,Cherry Blossom Tree Painting on Canvas | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-28/cherry-blossom-tree-painting-canvas,./reports/165.html,3,42,0,1,2,0,7
166,Board Game Builders | HMCPL Intercept,https://events.hmcpl.org/event/2026-03-28/board-game-builders,./reports/166.html,3,41,0,1,2,0,7
167,Makerspace | HMCPL Intercept,https://events.hmcpl.org/location/downtown-huntsville-library/makerspace,./reports/167.html,0,39,0,0,0,0,0
168,MCCL Sunday Adult Chess Club | HMCPL Intercept,https://events.hmcpl.org/event/2026-03-29/mccl-sunday-adult-chess-club,./reports/168.html,3,41,0,1,2,0,7
169,Auditorium 2 | HMCPL Intercept,https://events.hmcpl.org/location/madison-public-library/auditorium-2,./reports/169.html,1,40,0,0,1,0,2
17,Events this week | HMCPL Intercept,https://events.hmcpl.org/events/thisweek,./reports/17.html,0,44,0,0,0,0,0
170,Baby Lapsit | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-30/baby-lapsit,./reports/170.html,3,41,0,1,2,0,7
171,First Steps Storytime | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-30/first-steps-storytime,./reports/171.html,3,41,0,1,2,0,7
172,Homeschool Art(ist) Education | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-30/homeschool-artist-education,./reports/172.html,3,41,0,1,2,0,7
173,"Ready, Set, Kindergarten | HMCPL Intercept",https://events.hmcpl.org/index.php/event/2026-03-30/ready-set-kindergarten,./reports/173.html,3,41,0,1,2,0,7
174,Breastfeeding Support Group | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-30/breastfeeding-support-group,./reports/174.html,3,41,0,1,2,0,7
175,Jigsaw Puzzle Club | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-30/jigsaw-puzzle-club,./reports/175.html,3,42,0,1,2,0,7
176,American Mah Jongg | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-30/american-mah-jongg,./reports/176.html,3,42,0,1,2,0,7
177,Tech Help | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-30/tech-help,./reports/177.html,3,41,0,1,2,0,7
178,Homeschool Art(ist) Education | HMCPL Intercept,https://events.hmcpl.org/index.php/event/2026-03-30/homeschool-artist-education-0,./reports/178.html,3,41,0,1,2,0,7
179,Story Times | HMCPL Intercept,https://events.hmcpl.org/taxonomy/term/69,./reports/179.html,3,39,0,11,1,0,35
18,Cavalry Hill Public Library | HMCPL Intercept,https://events.hmcpl.org/cavalry-hill-public-library,./reports/18.html,1,41,0,2,0,0,6
180,Young children (0-5 years) | HMCPL Intercept,https://events.hmcpl.org/taxonomy/term/5,./reports/180.html,3,39,0,11,1,0,35
181,Interactive Learning | HMCPL Intercept,https://events.hmcpl.org/taxonomy/term/85,./reports/181.html,2,39,0,10,1,0,32
182,Social | HMCPL Intercept,https://events.hmcpl.org/taxonomy/term/115,./reports/182.html,2,39,0,10,1,0,32
183,Story Time | HMCPL Intercept,https://events.hmcpl.org/taxonomy/term/110,./reports/183.html,3,39,0,11,1,0,35
184,Summer Reading | HMCPL Intercept,https://events.hmcpl.org/taxonomy/term/113,./reports/184.html,2,38,0,10,1,0,32
185,Activities and Crafts | HMCPL Intercept,https://events.hmcpl.org/taxonomy/term/53,./reports/185.html,2,39,0,10,1,0,32
186,School age children (6-12 years) | HMCPL Intercept,https://events.hmcpl.org/taxonomy/term/9,./reports/186.html,3,38,0,10,1,0,32
187,Homeschool | HMCPL Intercept,https://events.hmcpl.org/taxonomy/term/146,./reports/187.html,2,39,0,9,1,0,29
188,Ready Set Kindergarten | HMCPL Intercept,https://events.hmcpl.org/taxonomy/term/143,./reports/188.html,2,39,0,10,1,0,32
189,Community Services | HMCPL Intercept,https://events.hmcpl.org/taxonomy/term/66,./reports/189.html,2,39,0,10,1,0,32
19,Downtown Huntsville Library | HMCPL Intercept,https://events.hmcpl.org/downtown-huntsville-library,./reports/19.html,1,42,0,2,0,0,6
190,Adults (19 and up) | HMCPL Intercept,https://events.hmcpl.org/taxonomy/term/1,./reports/190.html,2,39,0,10,1,0,32
